id,pop
1,9574
2,16538
3,11625
4,6815
5,9302
6,10605
7,9629
8,14819
9,8711
10,11814
11,6744
12,9989
13,10078
14,10907
15,17411
16,13232
17,11064
18,17876
19,19431
20,18962
21,25256
22,17155
23,14987
24,17357
25,16316
26,12499
27,10734
28,23088
29,17467
30,13314
31,23301
32,16098
33,21530
34,25180
35,19377
36,4484
37,15277
38,7189
39,6675
40,8112
41,14983
42,20423
43,7350
44,15010
45,16609
46,11259
47,22409
48,19537
49,17522
50,10436
51,17250
52,23984
53,22575
54,14298
55,20089
56,6191
57,17406
58,10682
59,3612
60,8938
61,8942
62,12889
63,5150
64,6374
65,12768
66,20001
67,30789
68,12673
69,14748
70,32792
71,21309
72,11249
73,16338
74,30235
75,14636
76,25581
77,26090
78,10453
79,12592
80,13509
81,8110
82,13920
83,9083
84,10782
85,12779
86,5261
87,12550
88,10531
89,5014
90,19619
91,11636
92,11176
93,9112
94,4889
95,6648
96,10050
97,8642
98,11646
99,3594
100,8386
101,6052
102,11558
103,4813
104,4233
105,13811
106,4856
107,7601
108,7866
109,6203
110,7544
111,18989
112,6888
113,9012
114,7800
115,11115
116,11622
117,9019
118,13710
119,3818
120,9119
121,11325
122,6090
123,8743
124,12241
125,5426
126,7343
127,10058
128,10525
129,3873
130,17270
131,11267
132,11673
133,10051
134,5095
135,10021
136,10111
137,4588
138,9887
139,9520
140,9825
141,15190
142,5655
143,13502
144,12448
145,9491
146,3626
147,5081
148,7534
149,8353
150,7969
151,10310
152,6485
153,5241
154,13421
155,5209
156,1750
157,8069
158,10961
159,20287
160,15051
161,13362
162,22260
163,17468
164,14258
165,16610
166,15567
167,11588
168,13398
169,11463
170,12166
171,10234
172,10255
173,13813
174,23355
175,18935
176,14745
177,11809
178,16590
179,17188
180,14834
181,12254
182,10984
183,7831
184,9709
185,18050
186,24894
187,10284
188,13610
189,11280
190,19008
191,11414
192,15873
193,10904
194,9541
195,9891
196,9595
197,22139
198,13749
199,14040
200,11511
201,8686
202,16755
203,14683
204,15330
205,14594
206,11057
207,12666
208,20992
209,15803
210,17681
211,15830
212,14791
213,14710
214,10073
215,13750
216,12801
217,12036
218,16732
219,10093
220,10130
221,10043
222,6925
223,15328
224,12168
225,12645
226,10471
227,5366
228,10083
229,6236
230,11801
231,12788
232,11217
233,16931
234,12371
235,7688
236,9431
237,14608
238,10848
239,4351
240,3553
241,13476
242,8931
243,14371
244,16010
245,11630
246,6301
247,7000
248,6224
249,5538
250,5903
251,4586
252,14098
253,16444
254,13477
255,14923
256,10828
257,5094
258,5779
259,5683
260,5607
261,9530
262,10559
263,9209
264,6848
265,8264
266,7256
267,9026
268,14823
269,2177
270,6859
271,9695
272,7924
273,6413
274,9770
275,9468
276,13757
277,11246
278,9886
279,10844
280,10686
281,13038
282,7216
283,13878
284,9226
285,7073
286,9813
287,14045
288,7431
289,6950
290,8477
291,11497
292,5851
293,9263
294,5200
295,10139
296,10773
297,5581
298,5990
299,3488
300,7724
301,8265
302,15325
303,7937
304,16884
305,10010
306,6750
307,4671
308,2897
309,6265
310,9239
311,3519
312,10254
313,8146
314,7713
315,7944
316,5931
317,4885
318,9304
319,10204
320,4441
321,6609
322,9711
323,2399
324,6322
325,8798
326,7094
327,5342
328,2695
329,5345
330,4537
331,11876
332,17889
333,3769
334,6931
335,8285
336,6451
337,10398
338,8381
339,16274
340,9646
341,3010
342,3657
343,4849
344,4347
345,3040
346,5866
347,885
348,3471
349,2483
350,5411
351,2727
352,2173
353,3344
354,5083
355,1364
356,2891
357,508
358,2970
359,4496
360,4332
361,2310
362,2992
363,1951
364,4244
365,7455
366,6074
367,6941
368,12177
369,4368
370,7165
371,7530
372,3856
373,7488
374,5504
375,7030
376,7784
377,13444
378,8665
379,2820
380,5140
381,6787
382,5487
383,8887
384,4886
385,9431
386,7702
387,9927
388,8877
389,8261
390,8399
391,9906
392,19994
393,10864
394,14218
395,9889
396,11163
397,8865
398,10671
399,13701
400,8201
401,10275
402,9209
403,11816
404,10781
405,8326
406,9013
407,10840
408,6398
409,8467
410,6618
411,7584
412,10531
413,6894
414,3546
415,7965
416,7681
417,6042
418,6024
419,4328
420,6775
421,6254
422,2567
423,7696
424,8529
425,4760
426,8832
427,7927
428,15204
429,4293
430,3789
431,6156
432,3805
433,6070
434,4926
435,5559
436,4034
437,2433
438,3804
439,4747
440,7812
441,3850
442,5226
443,4671
444,3533
445,6292
446,4112
447,4487
448,4409
449,5951
450,2198
451,818
452,2366
453,1763
454,1668
455,2214
456,1970
457,1830
458,1755
459,1515
460,1811
461,1909
462,1585
463,1460
464,1820
465,2090
466,1562
467,2830
468,3620
469,1900
470,4288
471,2993
472,3362
473,2754
474,2700
475,1262
476,4022
477,3397
478,2307
479,3126
480,3374
481,3227
482,2373
483,1626
484,1487
485,6865
486,2490
487,3064
488,1779
489,2216
490,1905
491,1899
492,3095
493,2222
494,1457
495,831
496,3132
497,1835
498,1393
499,1351
500,3728
501,1423
502,1965
503,1603
504,1245
505,1316
506,2818
507,2401
508,2099
509,1620
510,2767
511,3995
512,1699
513,3566
514,1507
515,2056
516,2525
517,2368
518,2700
519,3050
520,1759
521,934
522,2509
523,2017
524,1577
525,2383
526,1515
527,1323
528,1351
529,1601
530,2228
531,1587
532,1775
533,1259
534,1521
535,1026
536,1880
537,1425
538,1014
539,1121
540,1600
541,2039
542,3835
543,2775
544,2348
545,1402
546,1168
547,2606
548,6272
549,2148
550,1960
551,2984
552,1316
553,3615
554,1359
555,3702
556,4754
557,4064
558,3976
559,3002
560,1822
561,5396
562,2085
563,2788
564,8485
565,2906
566,4703
567,5167
568,3472
569,6365
570,8722
571,2999
572,20164
573,7999
574,8287
575,12373
576,14160
577,4097
578,5606
579,13287
580,29125
581,9899
582,11108
583,7932
584,13367
585,5940
586,10903
587,6097
588,24662
589,25574
590,13401
