id,pop,coastline_distance_avg,lc_40_avg,lc_200_avg,lc_190_avg,lc_160_avg,lc_150_avg,lc_140_avg,lc_130_avg,lc_11_avg,nightlights_avg,inland_water_distance_avg,water_distance_avg,road_intersection_distance_avg,highway_distance_avg,elevation_avg,built_volume_avg,built_surface_avg,dens
6388,5460,5.320633453576743,1.1318112327938987,86.31147693452381,2.7864643538079292,1.4517150671303678,130.2215268920068,19.003497688137756,3.3327508005155186,-0.4921854239742772,33.19310693027211,0.5229285622940583,0.5417270271145568,1.2521335316353104,0.4465433756510417,3.4504259589578017,848.6933460884354,339.4465082908163,4.642857142857143
6389,6927,3.1385122137639527,2.9639640101772815,85.12849331089954,2.412870170407912,2.214770812387147,134.3579797275115,18.774893046208142,4.042091895621307,-1.0367464502626396,85.8499056139199,0.39642221772662917,0.2392232472851178,1.3235522925814593,0.5855994622173547,3.226197010423506,807.3627708470125,316.80839625738673,4.548260013131976
6390,6025,9.142455735966058,1.2253055688710293,90.19160683202784,3.216312205926349,3.104960920501523,126.78326261966927,19.034355621736292,1.1015691931502938,-0.4188137602245839,43.71201520343777,0.5772071884859117,0.925881647254406,1.2223899051145017,0.4966631458571312,3.481650569109008,1156.8978459530026,459.56973455178417,5.243690165361183
6391,4338,13.354080536640726,0.9835798013689607,93.66071862840467,1.6562919567221952,3.9271643968871595,121.95008511673151,16.078049002918288,0.695896173420274,-0.3484150333627189,35.156523589494164,1.1686070463227545,0.4559831631632012,2.0980544430427206,0.465372246372406,3.212227233807555,1288.1371595330738,477.99213683527887,5.626459143968872
6392,7181,1.1966970229289942,5.32774535410503,82.5818971893491,4.204065735946745,1.6912863466161243,136.31570821005917,16.27543685281065,6.314624167899408,-0.5601988662629438,37.82842548076923,0.19334556083002033,0.24618519438794378,1.0965934437407545,0.30909878883136094,3.235881448779586,786.9147928994083,315.43698224852074,4.249112426035503
6393,6281,11.563683943918624,1.762275025157746,92.28286825500435,2.736892049472367,3.2204492102507616,124.18943102697999,17.763846959312446,0.9392697539300479,-0.6043777665021214,64.43979819408182,0.9266518907405896,0.8324586554544713,1.8611181938098347,0.9015161366541558,3.3614426522383596,1200.6129242819843,477.63261531766756,5.4664926022628375
6394,6490,1.9393493920883091,4.576216375805311,82.776663654934,4.630290378496229,1.2321382974544313,133.29652144877434,16.138097354258328,6.761341874214331,-0.8006058554466531,24.140880342551853,0.4525769879276988,0.549171625181686,1.5942149566899748,0.45250218053946023,3.640847810928661,958.1979886863608,383.2719201759899,4.079195474544312
6395,5756,4.379170551915323,1.8246709614415322,86.44533266129032,1.1840258001512096,3.5014194808467742,132.27774193548387,19.87289314516129,3.4921314264112904,-0.6080245085685484,87.34459677419355,0.35987225932459677,0.30449029737903227,0.9370309349798387,0.3139251905871976,3.3212991431451613,1829.24,539.3470161290322,7.427096774193548
6396,6342,29.3833504735896,-0.06693999113234798,111.06644946073008,3.915283473192063,2.1527797732732994,107.61955544800885,13.275325808904867,1.2331272901686947,0.198763551965224,2.6324290047704646,0.5155168381412473,1.7738353087838772,3.0925425301610896,0.8641670024500484,3.3409299597275997,563.2303650442478,171.76692132190266,1.7538716814159292
6397,3467,51.191961759713315,0.07858845046312123,124.88728310071672,3.8082371628630707,2.896000882626839,82.42718549603923,3.237933135491324,1.8015065806535269,0.0806482430900191,0.012878478405296646,0.7538654984999764,3.488946167130328,2.472712427209072,1.04030723960298,3.217888002168993,99.99354017351942,43.73694773198793,0.6539041870992078
6398,4377,32.31677243295897,-0.27077262925631734,116.01994757047903,7.536943294464818,2.0350655995731146,103.24163419665368,13.580147511746505,2.3774126443244326,0.4298640724827384,1.2587040077784781,0.6927534160662102,2.952658989657346,4.402906006474902,1.104279438782088,3.3615371805523724,230.91456566582627,99.97813287875316,1.0032088012835205
6399,3354,31.67699617075592,-0.230672794916058,127.11498369025671,4.826306219862431,3.9508777013012337,97.90802723018011,21.963744061126082,3.175921965855907,0.3466333939224046,0.6278343995975748,0.6798142273702312,4.274574029836193,4.198235124007233,2.6115101138136434,3.830315513756914,129.88131116153738,54.83168167635797,0.4756772089065381
6400,6302,36.377074737434356,-0.13886947231192565,125.08187593773444,0.847577678110934,4.2616366982370595,95.75390331957989,16.90938554951238,4.173236546441298,0.25557837518461646,1.8123847978596213,0.43894749016844054,0.9349271827234152,1.0252940127121624,0.3108349719265754,4.014069679529257,1434.7906976744187,353.5503797824456,4.72768192048012
6401,4560,41.77091740766074,-0.3768730361875855,128.7392527359781,4.47084954257866,3.664808214346785,90.09271545827633,12.327150307797538,2.3357290954172365,0.48258632759062925,0.13145988245179976,0.405977303939381,1.2368682402103284,4.652375812243502,1.2609091783515731,3.8448475974692204,350.6545143638851,136.9329770861833,1.2476060191518468
6402,7672,41.172121471564964,-0.11858664671382056,129.05105853051057,6.942121341843088,1.0694549167834164,86.41338470319634,13.734027993980906,3.112450219229971,0.3625827280997042,0.016390188050101832,0.6423729516104971,1.838820974081569,5.916316417600664,2.288476521961914,3.5764852344074303,178.54623287671234,72.02294779991698,0.7961809879618099
6403,5419,33.251723280272884,-0.2562444620745097,120.04138241425052,4.835810548725601,2.825061143879098,100.5324047754406,16.10962816230813,3.997735973919841,0.36372275729285103,0.3837411319168088,1.0559272180571346,3.667896576534963,3.6556748330017057,0.9255703739399753,3.6207410253221526,259.23251847640705,115.6495404585939,1.0269092287284443
6404,4852,35.82505247459125,-0.29452453963903,130.01750994255414,3.61467208558882,4.798283960036456,93.16263671011932,18.548473403667696,3.3398424553965973,0.39714249203387375,0.7317896770050818,0.47312527402438687,0.9423559494793968,2.401814257208352,0.9255187691601303,3.9171117225475034,281.3603071144498,108.4946282589483,1.0720282810428634
6405,2611,45.89896616541353,-0.8405559078072018,124.73959715465134,4.508861768391567,3.2992456439812767,89.4014263600177,6.102440153693056,3.7902672582190773,1.0046740530093616,0.0,0.8003706416777238,2.258843627911691,3.96046930285272,1.287212890912944,3.547859193019313,71.83447589562141,29.822872899159663,0.3849329205366357
6406,6712,41.01864261168385,-0.5379200449241123,123.73843069873998,4.346707205756013,3.2118793850229097,93.42871563573883,11.55305877720504,2.4733804499570446,0.763057971792669,0.40354222038767185,0.3318657489440149,1.7373582697952463,2.3317345897766324,1.105186520081615,3.8731547107674684,373.7024054982818,147.9541523482245,1.5376861397479955
